Participant 202_training	; Experiment run on 2017-08-09T13:09:15.908000				
Trial	Input	Output	Predict	Error	RT
1	107	25	60	35	14539
2	91	30	20	10	2665
3	83	47	30	17	3718
4	111	34	60	26	4783
5	93	25	70	45	5935
6	117	47	30	17	3350
7	87	39	20	19	8191
8	105	21	40	19	4335
9	95	21	30	9	3997
10	109	30	50	20	4159
11	85	43	25	18	7055
12	101	12	40	28	2295
13	97	17	30	13	8175
14	115	43	40	3	2639
15	81	52	10	42	5838
16	119	52	60	8	3214
17	89	34	10	24	2997
18	103	17	50	33	11143
19	99	12	30	18	2503
20	113	39	20	19	3151
21	81	52	10	42	3099
22	99	12	20	8	3006
23	83	47	40	7	5863
24	93	25	20	5	3295
25	101	12	10	2	3631
26	105	21	10	11	3815
27	85	43	30	13	2486
28	119	52	10	42	2327
29	117	47	10	37	5534
30	115	43	10	33	5487
31	111	34	20	14	13438
32	103	17	10	7	3694
33	91	30	60	30	8376
34	97	17	30	13	3310
35	113	39	10	29	3584
36	87	39	50	11	5431
37	95	21	20	1	1959
38	107	25	10	15	5486
39	109	30	21	9	7648
40	89	34	31	3	5943
41	101	12	35	23	10573
42	93	25	50	25	50880
43	91	30	40	10	11903
44	99	12	30	18	11318
45	103	17	20	3	2576
46	115	43	10	33	2985
47	81	52	50	2	6118
48	119	52	20	32	3857
49	97	17	40	23	3558
50	107	25	20	5	2711
51	85	43	16	27	4114
52	105	21	10	11	2760
53	111	34	30	4	3003
54	109	30	30	0	5039
55	89	34	40	6	3257
56	113	39	40	1	3279
57	117	47	30	17	5833
58	95	21	10	11	6334
59	83	47	20	27	16551
60	87	39	20	19	2942
61	83	47	20	27	3636
62	99	12	11	1	918
63	107	25	50	25	8184
64	85	43	40	3	9815
65	103	17	10	7	0
66	113	39	50	11	3694
67	97	17	50	33	4841
68	111	34	20	14	2958
69	119	52	30	22	2248
70	95	21	10	11	2151
71	101	12	20	8	7038
72	91	30	10	20	1671
73	117	47	20	27	2226
74	93	25	20	5	2189
75	87	39	10	29	1663
76	115	43	20	23	7022
77	89	34	60	26	6871
78	109	30	10	20	2687
79	81	52	10	42	4847
80	105	21	50	29	9304
81	107	25	35	10	9197
82	97	17	40	23	3855
83	91	30	50	20	4630
84	117	47	20	27	2215
85	101	12	10	2	0
86	85	43	50	7	3405
87	119	52	20	32	2207
88	105	21	40	19	3134
89	99	12	40	28	2843
90	93	25	40	15	2252
91	103	17	20	3	5502
92	111	34	25	9	9918
93	113	39	25	14	8734
94	89	34	40	6	2246
95	87	39	20	19	2080
96	83	47	40	7	1760
97	109	30	10	20	2390
98	115	43	25	18	6397
99	95	21	10	11	2998
100	81	52	30	22	4687
101	93	25	20	5	2196
102	109	30	10	20	3919
103	119	52	30	22	6696
104	105	21	20	1	4080
