Participant 278_training	; Experiment run on 2018-01-25T16:56:17.480944
Trial	Input	Output	Predict	Error	RT
1	107	25	90	65	9006
2	91	30	15	15	8735
3	83	47	27	20	17681
4	111	34	55	21	17046
5	93	25	37	12	13639
6	117	47	28	19	8573
7	87	39	40	1	22217
8	105	21	45	24	8353
9	95	21	29	8	5694
10	109	30	20	10	6822
11	85	43	23	20	10831
12	101	12	32	20	7877
13	97	17	30	13	10611
14	115	43	10	33	4363
15	81	52	40	12	7279
16	119	52	30	22	7035
17	89	34	32	2	8911
18	103	17	31	14	13666
19	99	12	20	8	3179
20	113	39	34	5	7652
21	81	52	40	12	6616
22	99	12	30	18	3433
23	83	47	40	7	3631
24	93	25	30	5	5587
25	101	12	16	4	4995
26	105	21	11	10	4736
27	85	43	30	13	3003
28	119	52	8	44	4424
29	117	47	60	13	5579
30	115	43	40	3	3650
31	111	34	38	4	4173
32	103	17	10	7	2546
33	91	30	41	11	4433
34	97	17	31	14	5439
35	113	39	60	21	4228
36	87	39	45	6	15534
37	95	21	13	8	10706
38	107	25	50	25	5154
39	109	30	40	10	8777
40	89	34	10	24	9362
41	101	12	10	2	12991
42	93	25	19	6	18665
43	91	30	25	5	19731
44	99	12	23	11	6914
45	103	17	8	9	3711
46	115	43	37	6	12291
47	81	52	32	20	26844
48	119	52	40	12	23729
49	97	17	12	5	7132
50	107	25	40	15	16751
51	85	43	40	3	6901
52	105	21	12	9	4341
53	111	34	25	9	6964
54	109	30	30	0	5657
55	89	34	30	4	9798
56	113	39	40	1	3400
57	117	47	48	1	5253
58	95	21	20	1	5395
59	83	47	28	19	5883
60	87	39	38	1	10295
61	83	47	30	17	10768
62	99	12	20	8	3321
63	107	25	30	5	3545
64	85	43	28	15	7838
65	103	17	24	7	4854
66	113	39	30	9	4864
67	97	17	18	1	6749
68	111	34	32	2	11758
69	119	52	40	12	3869
70	95	21	20	1	9133
71	101	12	25	13	5704
72	91	30	30	0	8078
73	117	47	36	11	7933
74	93	25	28	3	5997
75	87	39	30	9	7055
76	115	43	47	4	6482
77	89	34	30	4	3221
78	109	30	32	2	6811
79	81	52	40	12	2827
80	105	21	10	11	3516
81	107	25	35	10	13465
82	97	17	24	7	7254
83	91	30	20	10	4969
84	117	47	50	3	4813
85	101	12	16	4	6458
86	85	43	40	3	16918
87	119	52	50	2	4038
88	105	21	12	9	9483
89	99	12	10	2	6195
90	93	25	20	5	7949
91	103	17	15	2	5163
92	111	34	30	4	6080
93	113	39	37	2	5270
94	89	34	26	8	5788
95	87	39	40	1	3146
96	83	47	48	1	3147
97	109	30	20	10	4538
98	115	43	40	3	4284
99	95	21	17	4	5374
100	81	52	50	2	3407
101	93	25	21	4	8897
102	109	30	21	9	3492
103	119	52	50	2	5504
104	105	21	22	1	6326
105	87	39	35	4	5808
106	97	17	17	0	5027
107	83	47	40	7	5321
108	107	25	28	3	6878
109	113	39	40	1	7030
110	117	47	47	0	3873
111	103	17	17	0	6724
112	115	43	48	5	6163
113	95	21	19	2	5256
114	91	30	28	2	6496
115	111	34	40	6	6820
116	81	52	50	2	3698
117	101	12	12	0	5661
118	85	43	47	4	7736
119	99	12	18	6	4836
120	89	34	22	12	4627
121	111	34	40	6	7127
122	119	52	52	0	4453
123	85	43	40	3	7366
124	81	52	52	0	6440
125	95	21	20	1	6940
126	107	25	21	4	3859
127	117	47	46	1	8511
128	101	12	12	0	4612
129	115	43	34	9	5159
130	89	34	32	2	6713
131	93	25	26	1	4089
132	83	47	40	7	4693
133	113	39	48	9	5949
134	105	21	26	5	7106
135	109	30	30	0	5907
136	97	17	20	3	4492
137	91	30	30	0	3071
138	103	17	20	3	3588
139	87	39	41	2	6113
140	99	12	12	0	3606
141	103	17	20	3	6783
142	91	30	30	0	3764
143	107	25	27	2	12266
144	87	39	46	7	7015
145	89	34	30	4	5233
146	113	39	36	3	15481
147	119	52	50	2	3219
148	105	21	26	5	8309
149	83	47	41	6	25970
150	111	34	35	1	9165
151	109	30	30	0	2721
152	95	21	18	3	6132
153	117	47	48	1	9661
154	85	43	40	3	4410
155	101	12	12	0	6429
156	93	25	22	3	6918
157	115	43	46	3	6554
158	99	12	12	0	2562
159	81	52	52	0	3146
160	97	17	18	1	7718
161	91	30	28	2	10575
162	93	25	20	5	6038
163	107	25	28	3	6250
164	99	12	12	0	2598
165	89	34	30	4	2706
166	113	39	35	4	7025
167	85	43	42	1	10393
168	83	47	43	4	5201
169	97	17	15	2	6934
170	105	21	20	1	5477
171	103	17	15	2	4246
172	109	30	30	0	5838
173	87	39	28	11	7314
174	95	21	20	1	4855
175	119	52	52	0	4408
176	81	52	52	0	3973
177	101	12	12	0	2585
178	115	43	35	8	6739
179	111	34	33	1	7265
180	117	47	48	1	4456
181	107	25	27	2	12816
182	109	30	30	0	3429
183	95	21	23	2	6906
184	91	30	28	2	3543
185	81	52	46	6	5895
186	113	39	48	9	11386
